cell_type_broad,n_cells,quantile,atac_fragments,matrix_total_counts,matrix_n_accessible_peaks,atac_frip,atac_tss_fragment_fraction,atac_mitochondrial_fraction,atac_duplicate_fraction,atac_lowmapq_fraction
Cytotoxic_T_cell,755,0.0,169.0,262.0,133.0,0.5127959053103007,0.42994241842610365,0.0,0.2678132678132678,0.022292993630573247
Cytotoxic_T_cell,755,0.01,670.42,966.02,476.2,0.6676345060699,0.5327137394834395,0.0,0.3244188495526192,0.049399805754395607
Cytotoxic_T_cell,755,0.02,938.16,1303.12,671.2,0.6813464493775766,0.5458225566834317,0.0,0.34587107154554697,0.05125854302895977
Cytotoxic_T_cell,755,0.05,2455.0,3285.2,1640.7,0.7013091218476326,0.5599028542185226,0.0,0.3602698669125106,0.052997916712780736
Cytotoxic_T_cell,755,0.1,4912.000000000001,7005.0,3218.0,0.7100937807456407,0.5695032396410863,3.3876898603828404e-05,0.37029571707380576,0.056595282112980885
Cytotoxic_T_cell,755,0.25,11964.0,16862.0,6709.0,0.7249880295244417,0.583318592681878,0.00018308825270989384,0.3830446719285838,0.06423690403332086
Cytotoxic_T_cell,755,0.5,15213.0,21157.0,8062.0,0.7415782907049283,0.601723746881379,0.0007460759275732446,0.39300161812297735,0.07573419948572202
Cytotoxic_T_cell,755,0.75,17408.0,23857.0,8849.5,0.7637152953769702,0.6205693653268146,0.002265417264148315,0.4026816543179885,0.08741474012724326
Cytotoxic_T_cell,755,0.9,19248.6,26158.8,9534.2,0.7831065828301771,0.6421348654901287,0.006343355217059828,0.4104675156264618,0.09782436205262106
Cytotoxic_T_cell,755,0.95,20507.299999999996,27702.699999999997,10079.4,0.7961269626460316,0.6564529642208506,0.025367116624852436,0.4142655187490904,0.10273177474517883
Cytotoxic_T_cell,755,0.98,23166.12,30994.879999999972,10903.639999999998,0.8058441815442918,0.6686998497268914,0.04098041434989455,0.41924990149570324,0.11485055144313656
Cytotoxic_T_cell,755,0.99,30963.100000000137,42726.4400000002,13493.740000000042,0.8110210263773509,0.6759263137593855,0.061333271481544986,0.4229003454815198,0.11960381645489558
Cytotoxic_T_cell,755,1.0,40849.0,54273.0,16137.0,0.8402625820568927,0.687536231884058,0.1534610472541507,0.44801558315071827,0.3022113022113022
Dendritic cells,169,0.0,122.0,165.0,87.0,0.3317120622568093,0.2247081712062257,0.0,0.32244221937815254,0.04864940648658753
Dendritic cells,169,0.01,371.55999999999995,502.71999999999997,237.12,0.4877720823269346,0.3456346322052559,0.0,0.3280787317631895,0.05017848009847428
Dendritic cells,169,0.02,766.96,791.3599999999999,413.28,0.5374453853699085,0.3633831742384286,0.0,0.33951187931905796,0.05133585071101073
Dendritic cells,169,0.05,2448.0,3184.2000000000003,1638.8,0.6390810998226419,0.4152937314699203,0.0,0.3645637282399949,0.051809420693749574
Dendritic cells,169,0.1,4980.6,6423.2,3220.6,0.6476031389231319,0.4244548361476739,2.1760038857269173e-05,0.37609550592500435,0.052554326240359855
Dendritic cells,169,0.25,20232.0,26440.0,10938.0,0.668574335495358,0.43489452746297597,0.00011036309458117205,0.386882486705223,0.055504027337075906
Dendritic cells,169,0.5,25482.0,32179.0,13005.0,0.6855635130041462,0.4474413449104009,0.0004965892161731267,0.3940712461050445,0.05907647096955423
Dendritic cells,169,0.75,29668.0,36840.0,14354.0,0.7158536585365853,0.4675922088686283,0.0014675052410901468,0.4030229064964326,0.06507218271924155
Dendritic cells,169,0.9,33389.8,42620.4,15897.600000000002,0.7329838825393908,0.4859032040834253,0.007011665858243254,0.41023310739533525,0.0724087711610629
Dendritic cells,169,0.95,43340.2,56057.39999999999,19263.399999999998,0.7445933205036435,0.5089816656427262,0.017760714115933714,0.41676718039287425,0.07796543229845897
Dendritic cells,169,0.98,46857.19999999999,61291.63999999997,20090.879999999997,0.755735943266928,0.5180270925812078,0.030800421959308214,0.42331791392000045,0.08588738157114058
Dendritic cells,169,0.99,47932.919999999984,63132.2,20501.599999999995,0.7621684411608399,0.5305642155947332,0.0379957276118153,0.4292641246553803,0.09476591073638972
Dendritic cells,169,1.0,64136.0,63264.0,21702.0,0.7724957555178268,0.5655737704918032,0.05092402464065708,0.43214303337335724,0.10472279260780287
Memory_B_cells,377,0.0,251.0,344.0,177.0,0.2344546940297689,0.20668209588785663,0.0,0.14896629849900878,0.03389830508474576
Memory_B_cells,377,0.01,321.68,425.8,230.16,0.6063858458388711,0.4508510028490784,0.0,0.26794914628291344,0.054095901572964004
Memory_B_cells,377,0.02,849.2,1148.92,602.16,0.6349262092677495,0.470811593236723,1.4986454550694576e-05,0.2958042988728265,0.05579413410489716
Memory_B_cells,377,0.05,1914.4,2608.4,1338.0,0.661830460783498,0.4940691263258861,0.0002760065364330906,0.3258593674986468,0.0590440403503429
Memory_B_cells,377,0.1,5034.6,6901.000000000001,3328.8,0.6746778822745908,0.5074725513637037,0.0006046165414056386,0.3484150874832889,0.06144121276587947
Memory_B_cells,377,0.25,16409.0,21816.0,8969.0,0.6936142764996774,0.5257950204795435,0.0015257440848951336,0.3734073385465084,0.065666772175014
Memory_B_cells,377,0.5,21113.0,27753.0,10553.0,0.7095169463945326,0.5410797166354532,0.00421906249143859,0.3892844717615679,0.07304910766359501
Memory_B_cells,377,0.75,23390.0,30758.0,11443.0,0.7271976888155179,0.5592989289191821,0.0152976128426978,0.3982034743381742,0.08268890573666919
Memory_B_cells,377,0.9,25787.4,33706.8,12240.2,0.7426506184251844,0.57216986814483,0.05982737608321205,0.40716134405884247,0.09434810587106018
Memory_B_cells,377,0.95,28419.6,36988.99999999999,13124.8,0.7509121048654255,0.5778351854428828,0.09617571407868768,0.41116822132319986,0.10216415755563225
Memory_B_cells,377,0.98,43186.440000000024,51471.76000000007,16830.800000000003,0.7634417713434107,0.5859533999184889,0.15328886461777017,0.41477656887385916,0.12138038852262364
Memory_B_cells,377,0.99,49752.520000000004,58030.160000000025,17855.040000000005,0.7719680764072875,0.5961620283076438,0.19299907309551464,0.41948926666379205,0.13269886592449034
Memory_B_cells,377,1.0,103746.0,77233.0,24313.0,0.7802000755001888,0.611322912695387,0.44204533247394995,0.44049588507528326,0.19763864881492985
Monocytes_CD14,2470,0.0,155.0,219.0,117.0,0.18067283567593817,0.13663096554887097,0.0,0.20299727520435967,0.021220159151193633
Monocytes_CD14,2470,0.01,593.0500000000001,732.73,381.52,0.286360603909018,0.20828969395905195,0.0,0.32246649110362946,0.045583652906937694
Monocytes_CD14,2470,0.02,941.38,1188.94,620.52,0.38749713392711255,0.27387795259651465,0.0,0.3350860305673102,0.04745699738743071
Monocytes_CD14,2470,0.05,2150.75,2932.75,1503.5500000000002,0.5038787586663162,0.34960329926720235,0.0,0.35206304468427196,0.049614792200505124
Monocytes_CD14,2470,0.1,5857.400000000001,7574.1,3618.9,0.5693992541469421,0.3878120000106382,4.7203976379262334e-05,0.36381818947144523,0.05156581372494089
Monocytes_CD14,2470,0.25,13304.0,17382.0,7530.5,0.6560603864225224,0.4305484599756023,0.0002039498396875991,0.3793668869590783,0.0548489150512233
Monocytes_CD14,2470,0.5,18701.5,23932.5,9880.0,0.6948257769797127,0.44911578649428074,0.0006810929661774225,0.39087886832853624,0.05847371236503628
Monocytes_CD14,2470,0.75,22467.25,27940.75,11232.75,0.7255517741856004,0.46313272280663903,0.0016878226231934145,0.39970660537188396,0.06282363145431505
Monocytes_CD14,2470,0.9,27826.7,31707.3,12545.2,0.7477566833054403,0.47647462053470263,0.009782058562747921,0.4081478421868433,0.06901013210079474
Monocytes_CD14,2470,0.95,35706.54999999998,36235.39999999997,14085.899999999994,0.7578800012023927,0.48443090015440643,0.022314700074351816,0.4132109591159492,0.07396989664091476
Monocytes_CD14,2470,0.98,47317.99999999992,48235.419999999984,17419.579999999998,0.7687281174108468,0.4982569727369126,0.034237176231123025,0.4192686914189133,0.08032667701767701
Monocytes_CD14,2470,0.99,57366.23999999998,56734.509999999995,19472.239999999998,0.7772439410878262,0.507256013884634,0.047085663903203234,0.4231947406850753,0.0880454592182884
Monocytes_CD14,2470,1.0,194554.0,91230.0,29662.0,0.8133659331703341,0.569060773480663,0.2282016348773842,0.43487189846143487,0.16893342877594847
NK_cells,419,0.0,333.0,495.0,256.0,0.5340149029780524,0.4335226400613968,0.0,0.2857995735607676,0.045601647543395116
NK_cells,419,0.01,639.34,942.88,443.79999999999995,0.6109779222936857,0.47438247328027017,0.0,0.32763987626310587,0.05007036336455155
NK_cells,419,0.02,990.9599999999999,1354.6,636.24,0.6294550586395842,0.48812575390789315,0.0,0.3375494180062174,0.051242115328167685
NK_cells,419,0.05,2433.300000000001,3287.9000000000015,1652.8000000000006,0.6471274697256647,0.5038526038752029,0.0,0.358306648070318,0.05409208539613117
NK_cells,419,0.1,4986.6,6750.2,3214.4,0.6675753453156476,0.5254210340502995,0.0,0.3729603272766785,0.05760989810049224
