tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
AC008770.3	AC008770.3	0	Lambert_human_TFs	v1.01
AC023509.3	AC023509.3	1	Lambert_human_TFs	v1.01
AC092835.1	AC092835.1	2	Lambert_human_TFs	v1.01
AC138696.1	AC138696.1	3	Lambert_human_TFs	v1.01
ADNP	ADNP	4	Lambert_human_TFs	v1.01
ADNP2	ADNP2	5	Lambert_human_TFs	v1.01
AEBP1	AEBP1	6	Lambert_human_TFs	v1.01
AEBP2	AEBP2	7	Lambert_human_TFs	v1.01
AHCTF1	AHCTF1	8	Lambert_human_TFs	v1.01
AHDC1	AHDC1	9	Lambert_human_TFs	v1.01
AHR	AHR	10	Lambert_human_TFs	v1.01
AHRR	AHRR	11	Lambert_human_TFs	v1.01
AIRE	AIRE	12	Lambert_human_TFs	v1.01
AKAP8	AKAP8	13	Lambert_human_TFs	v1.01
AKAP8L	AKAP8L	14	Lambert_human_TFs	v1.01
AKNA	AKNA	15	Lambert_human_TFs	v1.01
ALX1	ALX1	16	Lambert_human_TFs	v1.01
ALX3	ALX3	17	Lambert_human_TFs	v1.01
ALX4	ALX4	18	Lambert_human_TFs	v1.01
ANHX	ANHX	19	Lambert_human_TFs	v1.01
ANKZF1	ANKZF1	20	Lambert_human_TFs	v1.01
AR	AR	21	Lambert_human_TFs	v1.01
ARGFX	ARGFX	22	Lambert_human_TFs	v1.01
ARHGAP35	ARHGAP35	23	Lambert_human_TFs	v1.01
ARID2	ARID2	24	Lambert_human_TFs	v1.01
ARID3A	ARID3A	25	Lambert_human_TFs	v1.01
ARID3B	ARID3B	26	Lambert_human_TFs	v1.01
ARID3C	ARID3C	27	Lambert_human_TFs	v1.01
ARID5A	ARID5A	28	Lambert_human_TFs	v1.01
ARID5B	ARID5B	29	Lambert_human_TFs	v1.01
ARNT	ARNT	30	Lambert_human_TFs	v1.01
ARNT2	ARNT2	31	Lambert_human_TFs	v1.01
ARNTL	ARNTL	32	Lambert_human_TFs	v1.01
ARNTL2	ARNTL2	33	Lambert_human_TFs	v1.01
ARX	ARX	34	Lambert_human_TFs	v1.01
ASCL1	ASCL1	35	Lambert_human_TFs	v1.01
ASCL2	ASCL2	36	Lambert_human_TFs	v1.01
ASCL3	ASCL3	37	Lambert_human_TFs	v1.01
ASCL4	ASCL4	38	Lambert_human_TFs	v1.01
ASCL5	ASCL5	39	Lambert_human_TFs	v1.01
