catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
0	AC008770.3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
1	AC023509.3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
2	AC092835.1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
3	AC138696.1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
4	ADNP	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
5	ADNP2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
6	AEBP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
7	AEBP2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
8	AHCTF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
9	AHDC1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
11	AHRR	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
12	AIRE	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
13	AKAP8	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
14	AKAP8L	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
15	AKNA	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
16	ALX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
17	ALX3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
18	ALX4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
19	ANHX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
20	ANKZF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
22	ARGFX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
23	ARHGAP35	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
24	ARID2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
26	ARID3B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
27	ARID3C	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
28	ARID5A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
30	ARNT	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
31	ARNT2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
32	ARNTL	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
34	ARX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
35	ASCL1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
36	ASCL2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
37	ASCL3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
38	ASCL4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
39	ASCL5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
40	ASH1L	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
42	ATF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
44	ATF4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
45	ATF5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
46	ATF6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
47	ATF6B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
48	ATF7	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
49	ATMIN	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
50	ATOH1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
51	ATOH7	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
52	ATOH8	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
55	BARHL1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
56	BARHL2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
57	BARX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
58	BARX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
59	BATF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
60	BATF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
62	BAZ2A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
64	BBX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
66	BCL11B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
68	BCL6B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
69	BHLHA15	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
70	BHLHA9	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
71	BHLHE22	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
72	BHLHE23	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
73	BHLHE40	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
75	BNC1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
77	BORCS8-MEF2B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
78	BPTF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
79	BRF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
80	BSX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
81	C11ORF95	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
82	CAMTA1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
83	CAMTA2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
84	CARF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
85	CASZ1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
87	CC2D1A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
88	CCDC169-SOHLH2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
