tf_index	tf_symbol	rna_var_name	catalogue_index	reference_name	reference_version
0	AHR	AHR	10	Lambert_human_TFs	v1.01
1	AR	AR	21	Lambert_human_TFs	v1.01
2	ARID3A	ARID3A	25	Lambert_human_TFs	v1.01
3	ARID5B	ARID5B	29	Lambert_human_TFs	v1.01
4	ARNTL2	ARNTL2	33	Lambert_human_TFs	v1.01
5	ATF1	ATF1	41	Lambert_human_TFs	v1.01
6	ATF3	ATF3	43	Lambert_human_TFs	v1.01
7	BACH1	BACH1	53	Lambert_human_TFs	v1.01
8	BACH2	BACH2	54	Lambert_human_TFs	v1.01
9	BATF3	BATF3	61	Lambert_human_TFs	v1.01
10	BAZ2B	BAZ2B	63	Lambert_human_TFs	v1.01
11	BCL11A	BCL11A	65	Lambert_human_TFs	v1.01
12	BCL6	BCL6	67	Lambert_human_TFs	v1.01
13	BHLHE41	BHLHE41	74	Lambert_human_TFs	v1.01
14	BNC2	BNC2	76	Lambert_human_TFs	v1.01
15	CBX2	CBX2	86	Lambert_human_TFs	v1.01
16	CEBPA	CEBPA	94	Lambert_human_TFs	v1.01
17	CEBPB	CEBPB	95	Lambert_human_TFs	v1.01
18	CEBPD	CEBPD	96	Lambert_human_TFs	v1.01
19	CPEB1	CPEB1	111	Lambert_human_TFs	v1.01
20	CREB5	CREB5	119	Lambert_human_TFs	v1.01
21	CUX2	CUX2	130	Lambert_human_TFs	v1.01
22	CXXC5	CXXC5	133	Lambert_human_TFs	v1.01
23	DACH1	DACH1	134	Lambert_human_TFs	v1.01
24	E2F1	E2F1	170	Lambert_human_TFs	v1.01
25	E2F2	E2F2	171	Lambert_human_TFs	v1.01
26	E2F7	E2F7	176	Lambert_human_TFs	v1.01
27	E2F8	E2F8	177	Lambert_human_TFs	v1.01
28	EBF1	EBF1	179	Lambert_human_TFs	v1.01
29	EGR1	EGR1	184	Lambert_human_TFs	v1.01
30	EPAS1	EPAS1	202	Lambert_human_TFs	v1.01
31	ERG	ERG	204	Lambert_human_TFs	v1.01
32	ESR1	ESR1	205	Lambert_human_TFs	v1.01
33	ESRRB	ESRRB	208	Lambert_human_TFs	v1.01
34	ETV3L	ETV3L	216	Lambert_human_TFs	v1.01
35	ETV6	ETV6	219	Lambert_human_TFs	v1.01
36	FOS	FOS	234	Lambert_human_TFs	v1.01
37	FOSB	FOSB	235	Lambert_human_TFs	v1.01
38	FOSL1	FOSL1	236	Lambert_human_TFs	v1.01
39	FOXJ1	FOXJ1	263	Lambert_human_TFs	v1.01
40	FOXN2	FOXN2	272	Lambert_human_TFs	v1.01
41	FOXO3	FOXO3	276	Lambert_human_TFs	v1.01
42	FOXP3	FOXP3	281	Lambert_human_TFs	v1.01
43	GATA1	GATA1	288	Lambert_human_TFs	v1.01
44	GATA2	GATA2	289	Lambert_human_TFs	v1.01
45	GATA3	GATA3	290	Lambert_human_TFs	v1.01
46	GLIS1	GLIS1	306	Lambert_human_TFs	v1.01
47	GLIS3	GLIS3	308	Lambert_human_TFs	v1.01
48	HDX	HDX	332	Lambert_human_TFs	v1.01
49	HES1	HES1	334	Lambert_human_TFs	v1.01
50	HES4	HES4	337	Lambert_human_TFs	v1.01
51	HESX1	HESX1	341	Lambert_human_TFs	v1.01
52	HIF1A	HIF1A	348	Lambert_human_TFs	v1.01
53	HIVEP3	HIVEP3	353	Lambert_human_TFs	v1.01
54	HMGA2	HMGA2	361	Lambert_human_TFs	v1.01
55	HOXA6	HOXA6	379	Lambert_human_TFs	v1.01
56	HOXA7	HOXA7	380	Lambert_human_TFs	v1.01
57	IKZF2	IKZF2	419	Lambert_human_TFs	v1.01
58	IRF4	IRF4	428	Lambert_human_TFs	v1.01
59	IRF7	IRF7	431	Lambert_human_TFs	v1.01
60	IRF8	IRF8	432	Lambert_human_TFs	v1.01
61	JAZF1	JAZF1	443	Lambert_human_TFs	v1.01
62	JDP2	JDP2	444	Lambert_human_TFs	v1.01
63	JUN	JUN	447	Lambert_human_TFs	v1.01
64	KLF1	KLF1	457	Lambert_human_TFs	v1.01
65	KLF4	KLF4	468	Lambert_human_TFs	v1.01
66	KLF5	KLF5	469	Lambert_human_TFs	v1.01
