tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version	rna_var_name	rna_gene_symbol	present_in_rna	included_as_tf_node	exclusion_reason
AC008770.3	AC008770.3	0	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AC023509.3	AC023509.3	1	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AC092835.1	AC092835.1	2	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AC138696.1	AC138696.1	3	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ADNP	ADNP	4	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ADNP2	ADNP2	5	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AEBP1	AEBP1	6	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AEBP2	AEBP2	7	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AHCTF1	AHCTF1	8	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AHDC1	AHDC1	9	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AHR	AHR	10	Lambert_human_TFs	v1.01	AHR	AHR	True	True	
AHRR	AHRR	11	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AIRE	AIRE	12	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AKAP8	AKAP8	13	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AKAP8L	AKAP8L	14	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AKNA	AKNA	15	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ALX1	ALX1	16	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ALX3	ALX3	17	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ALX4	ALX4	18	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ANHX	ANHX	19	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ANKZF1	ANKZF1	20	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
AR	AR	21	Lambert_human_TFs	v1.01	AR	AR	True	True	
ARGFX	ARGFX	22	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARHGAP35	ARHGAP35	23	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARID2	ARID2	24	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARID3A	ARID3A	25	Lambert_human_TFs	v1.01	ARID3A	ARID3A	True	True	
ARID3B	ARID3B	26	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARID3C	ARID3C	27	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARID5A	ARID5A	28	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARID5B	ARID5B	29	Lambert_human_TFs	v1.01	ARID5B	ARID5B	True	True	
ARNT	ARNT	30	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARNT2	ARNT2	31	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARNTL	ARNTL	32	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ARNTL2	ARNTL2	33	Lambert_human_TFs	v1.01	ARNTL2	ARNTL2	True	True	
ARX	ARX	34	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ASCL1	ASCL1	35	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ASCL2	ASCL2	36	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ASCL3	ASCL3	37	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ASCL4	ASCL4	38	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ASCL5	ASCL5	39	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ASH1L	ASH1L	40	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATF1	ATF1	41	Lambert_human_TFs	v1.01	ATF1	ATF1	True	True	
ATF2	ATF2	42	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATF3	ATF3	43	Lambert_human_TFs	v1.01	ATF3	ATF3	True	True	
ATF4	ATF4	44	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATF5	ATF5	45	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATF6	ATF6	46	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATF6B	ATF6B	47	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATF7	ATF7	48	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATMIN	ATMIN	49	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATOH1	ATOH1	50	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATOH7	ATOH7	51	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ATOH8	ATOH8	52	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BACH1	BACH1	53	Lambert_human_TFs	v1.01	BACH1	BACH1	True	True	
BACH2	BACH2	54	Lambert_human_TFs	v1.01	BACH2	BACH2	True	True	
BARHL1	BARHL1	55	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BARHL2	BARHL2	56	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BARX1	BARX1	57	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BARX2	BARX2	58	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BATF	BATF	59	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BATF2	BATF2	60	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BATF3	BATF3	61	Lambert_human_TFs	v1.01	BATF3	BATF3	True	True	
BAZ2A	BAZ2A	62	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BAZ2B	BAZ2B	63	Lambert_human_TFs	v1.01	BAZ2B	BAZ2B	True	True	
BBX	BBX	64	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BCL11A	BCL11A	65	Lambert_human_TFs	v1.01	BCL11A	BCL11A	True	True	
BCL11B	BCL11B	66	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BCL6	BCL6	67	Lambert_human_TFs	v1.01	BCL6	BCL6	True	True	
BCL6B	BCL6B	68	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
