cluster,n_cells,fraction_cells,n_pcs,n_neighbors,leiden_resolution,cluster_key
0,2470,0.2529960053262317,30,20,0.6,leiden_0_6
1,1703,0.1744340878828229,30,20,0.6,leiden_0_6
2,1565,0.16029908839496057,30,20,0.6,leiden_0_6
3,1434,0.14688108163474342,30,20,0.6,leiden_0_6
4,755,0.0773327870531599,30,20,0.6,leiden_0_6
5,419,0.04291713612619072,30,20,0.6,leiden_0_6
6,377,0.03861517976031957,30,20,0.6,leiden_0_6
7,343,0.03513264365461436,30,20,0.6,leiden_0_6
8,277,0.028372426508245417,30,20,0.6,leiden_0_6
9,169,0.017310252996005325,30,20,0.6,leiden_0_6
10,118,0.012086448837447505,30,20,0.6,leiden_0_6
11,95,0.00973061558947045,30,20,0.6,leiden_0_6
12,19,0.00194612311789409,30,20,0.6,leiden_0_6
13,19,0.00194612311789409,30,20,0.6,leiden_0_6
