cluster,n_cells,fraction_cells,n_pcs,n_neighbors,leiden_resolution,cluster_key
0,1818,0.18621325412270817,10,10,0.6,leiden_pcs10_neighbors10_res0_6
1,1443,0.1478029294274301,10,10,0.6,leiden_pcs10_neighbors10_res0_6
2,1386,0.14196456007374783,10,10,0.6,leiden_pcs10_neighbors10_res0_6
3,1382,0.14155484994366485,10,10,0.6,leiden_pcs10_neighbors10_res0_6
4,1072,0.10980231486223496,10,10,0.6,leiden_pcs10_neighbors10_res0_6
5,597,0.06114923691488272,10,10,0.6,leiden_pcs10_neighbors10_res0_6
6,414,0.042404998463587015,10,10,0.6,leiden_pcs10_neighbors10_res0_6
7,409,0.041892860800983305,10,10,0.6,leiden_pcs10_neighbors10_res0_6
8,394,0.04035644781317218,10,10,0.6,leiden_pcs10_neighbors10_res0_6
9,320,0.032776810406637304,10,10,0.6,leiden_pcs10_neighbors10_res0_6
10,266,0.027245723650517258,10,10,0.6,leiden_pcs10_neighbors10_res0_6
11,148,0.015159274813069753,10,10,0.6,leiden_pcs10_neighbors10_res0_6
12,95,0.00973061558947045,10,10,0.6,leiden_pcs10_neighbors10_res0_6
13,19,0.00194612311789409,10,10,0.6,leiden_pcs10_neighbors10_res0_6
0,1621,0.1660350302161221,10,20,0.6,leiden_pcs10_neighbors20_res0_6
1,1581,0.16193792891529243,10,20,0.6,leiden_pcs10_neighbors20_res0_6
2,1500,0.15364129878111235,10,20,0.6,leiden_pcs10_neighbors20_res0_6
3,1438,0.14729079176482637,10,20,0.6,leiden_pcs10_neighbors20_res0_6
4,925,0.09474546758168596,10,20,0.6,leiden_pcs10_neighbors20_res0_6
5,918,0.09402847485404077,10,20,0.6,leiden_pcs10_neighbors20_res0_6
6,420,0.043019563658711464,10,20,0.6,leiden_pcs10_neighbors20_res0_6
7,392,0.040151592748130696,10,20,0.6,leiden_pcs10_neighbors20_res0_6
8,360,0.03687391170746697,10,20,0.6,leiden_pcs10_neighbors20_res0_6
9,296,0.030318549626139505,10,20,0.6,leiden_pcs10_neighbors20_res0_6
10,179,0.018334528321212743,10,20,0.6,leiden_pcs10_neighbors20_res0_6
11,95,0.00973061558947045,10,20,0.6,leiden_pcs10_neighbors20_res0_6
12,19,0.00194612311789409,10,20,0.6,leiden_pcs10_neighbors20_res0_6
13,19,0.00194612311789409,10,20,0.6,leiden_pcs10_neighbors20_res0_6
0,2426,0.24848919389531907,30,10,0.6,leiden_pcs30_neighbors10_res0_6
1,1619,0.16583017515108062,30,10,0.6,leiden_pcs30_neighbors10_res0_6
2,1477,0.1512854655331353,30,10,0.6,leiden_pcs30_neighbors10_res0_6
3,1467,0.15026119020792789,30,10,0.6,leiden_pcs30_neighbors10_res0_6
4,878,0.0899313735532111,30,10,0.6,leiden_pcs30_neighbors10_res0_6
5,418,0.04281470859366998,30,10,0.6,leiden_pcs30_neighbors10_res0_6
6,390,0.03994673768308921,30,10,0.6,leiden_pcs30_neighbors10_res0_6
7,377,0.03861517976031957,30,10,0.6,leiden_pcs30_neighbors10_res0_6
8,278,0.02847485404076616,30,10,0.6,leiden_pcs30_neighbors10_res0_6
9,166,0.0170029703984431,30,10,0.6,leiden_pcs30_neighbors10_res0_6
10,120,0.01229130390248899,30,10,0.6,leiden_pcs30_neighbors10_res0_6
11,95,0.00973061558947045,30,10,0.6,leiden_pcs30_neighbors10_res0_6
12,19,0.00194612311789409,30,10,0.6,leiden_pcs30_neighbors10_res0_6
13,19,0.00194612311789409,30,10,0.6,leiden_pcs30_neighbors10_res0_6
14,14,0.001433985455290382,30,10,0.6,leiden_pcs30_neighbors10_res0_6
0,2470,0.2529960053262317,30,20,0.6,leiden_pcs30_neighbors20_res0_6
1,1703,0.1744340878828229,30,20,0.6,leiden_pcs30_neighbors20_res0_6
2,1565,0.16029908839496057,30,20,0.6,leiden_pcs30_neighbors20_res0_6
3,1434,0.14688108163474342,30,20,0.6,leiden_pcs30_neighbors20_res0_6
4,755,0.0773327870531599,30,20,0.6,leiden_pcs30_neighbors20_res0_6
5,419,0.04291713612619072,30,20,0.6,leiden_pcs30_neighbors20_res0_6
6,377,0.03861517976031957,30,20,0.6,leiden_pcs30_neighbors20_res0_6
7,343,0.03513264365461436,30,20,0.6,leiden_pcs30_neighbors20_res0_6
8,277,0.028372426508245417,30,20,0.6,leiden_pcs30_neighbors20_res0_6
9,169,0.017310252996005325,30,20,0.6,leiden_pcs30_neighbors20_res0_6
10,118,0.012086448837447505,30,20,0.6,leiden_pcs30_neighbors20_res0_6
11,95,0.00973061558947045,30,20,0.6,leiden_pcs30_neighbors20_res0_6
12,19,0.00194612311789409,30,20,0.6,leiden_pcs30_neighbors20_res0_6
13,19,0.00194612311789409,30,20,0.6,leiden_pcs30_neighbors20_res0_6
0,2470,0.2529960053262317,30,20,0.6,leiden_pcs30_neighbors20_res0_6
1,1703,0.1744340878828229,30,20,0.6,leiden_pcs30_neighbors20_res0_6
2,1565,0.16029908839496057,30,20,0.6,leiden_pcs30_neighbors20_res0_6
3,1434,0.14688108163474342,30,20,0.6,leiden_pcs30_neighbors20_res0_6
4,755,0.0773327870531599,30,20,0.6,leiden_pcs30_neighbors20_res0_6
5,419,0.04291713612619072,30,20,0.6,leiden_pcs30_neighbors20_res0_6
6,377,0.03861517976031957,30,20,0.6,leiden_pcs30_neighbors20_res0_6
7,343,0.03513264365461436,30,20,0.6,leiden_pcs30_neighbors20_res0_6
8,277,0.028372426508245417,30,20,0.6,leiden_pcs30_neighbors20_res0_6
9,169,0.017310252996005325,30,20,0.6,leiden_pcs30_neighbors20_res0_6
10,118,0.012086448837447505,30,20,0.6,leiden_pcs30_neighbors20_res0_6
11,95,0.00973061558947045,30,20,0.6,leiden_pcs30_neighbors20_res0_6
12,19,0.00194612311789409,30,20,0.6,leiden_pcs30_neighbors20_res0_6
13,19,0.00194612311789409,30,20,0.6,leiden_pcs30_neighbors20_res0_6
