cluster,T_cells_general,CD4_T_cells,CD8_T_cells,Cytotoxic_T_NK,NK_cells,B_cells,Naive_B_cells,Memory_B_cells,Plasma_cells,Monocytes_general,Monocytes_CD14,Monocytes_FCGR3A,Dendritic_cells_CD1C,pDC,Platelets,Cycling_cells,Interferon_response,Stress_response
0,0.06387723,0.13915136,0.03593036,0.09280542,0.25243726,0.7916621,0.092423886,0.08693321,0.08075932,1.5453819,1.9300629,0.57861525,0.82514864,0.19714746,0.34600443,0.0035040001,0.5241137,1.4387618
1,1.0824938,1.4673331,0.045698714,0.12358763,0.1194802,0.318796,0.09405541,0.22822633,0.08753764,0.45972773,0.5017812,0.15376504,0.2535024,0.06691473,0.027394507,0.03068391,0.1846074,0.67736626
2,1.1635114,1.2351828,0.12193306,0.17771266,0.11159522,0.32593206,0.08233482,0.29457465,0.109241776,0.3822867,0.38086247,0.12381607,0.25376353,0.052962355,0.017480096,0.019967142,0.22768803,0.98397875
3,1.1852642,1.4438334,0.6533508,0.21330875,0.11256344,0.31440768,0.05675263,0.17072889,0.06910943,0.4334476,0.41440073,0.16046129,0.23591225,0.061939705,0.021219898,0.03595621,0.16913016,0.78702384
4,1.2151687,0.40032333,1.1119258,1.8428398,1.2024117,0.3488442,0.05207304,0.11326083,0.13622345,0.44445705,0.4652749,0.2320921,0.33652392,0.13904537,0.010142405,0.021163676,0.20319182,0.7646971
5,0.22570166,0.15783828,0.5317957,2.6300166,2.369419,0.3252047,0.039546944,0.03004006,0.21443148,0.9075022,0.54973763,0.44525477,0.277455,0.37646472,0.017705202,0.07711946,0.2601839,0.619515
6,0.099732764,0.45022607,0.034368545,0.09923766,0.114027604,2.7029169,0.82690346,0.60219467,0.27015117,0.51136607,0.4214876,0.19659398,1.097931,0.36737472,0.027275998,0.014759898,0.21226616,0.72096777
7,0.06644467,0.24649912,0.032552343,0.0914704,0.75500476,1.0744078,0.08711316,0.05339569,0.047467023,2.475292,0.8682458,2.2686937,1.3629355,0.244887,0.46524072,0.0074367747,0.76736873,1.2088299
8,0.08095369,0.39140207,0.031178053,0.10355833,0.124153316,2.6229846,2.1002395,0.11524948,0.08223811,0.5063414,0.4599917,0.18958305,1.0349749,0.27549005,0.043363966,0.015094496,0.17837478,0.7012798
9,0.048611,0.2003061,0.034543995,0.09987113,0.28447118,1.3162991,0.078905314,0.15582427,0.07535592,1.8052739,1.1560436,0.6568664,2.0404384,0.2942225,0.50361,0.029617604,0.4391509,1.2875932
10,1.0464487,0.8102332,0.8953287,1.4489013,0.8706775,0.376003,0.029658953,0.17565256,0.18645026,0.4395137,0.4662563,0.16247548,0.28872582,0.042249925,0.05396733,0.024861217,0.19795759,0.99728817
11,0.06944399,0.39502433,0.040704153,0.49111798,0.27955857,1.1283985,0.35834947,0.27117538,0.7338002,0.9437714,0.37683296,0.25725877,1.2684504,2.3063931,0.15676259,0.11795946,0.43107617,0.5277551
12,0.2076039,0.37728816,0.029067397,0.10667784,0.099479966,0.71767855,0.1866906,0.2526086,0.21076973,0.5242682,0.31045523,0.30357176,0.6171262,0.36514708,0.17091276,0.22559008,0.16375853,0.8483109
13,0.09102374,0.14736739,0.040634643,0.088445224,0.087653354,0.8363656,0.051461346,0.6250336,2.2048423,0.2885259,0.34142002,0.08904105,0.5747447,0.3765703,0.010417569,0.04872475,0.39373544,0.6956053
