cluster,CD3D,CD3E,CD3G,TRAC,CD4,IL7R,CCR7,LTB,TCF7,LEF1,MAL,NOSIP,CD8A,CD8B,CCL5,GZMK,LINC02446,NKG7,GNLY,PRF1,GZMB,CTSW,KLRD1,KLRF1,TYROBP,FCGR3A,MS4A1,CD79A,CD79B,BANK1,CD74,HLA-DRA,CD37,TCL1A,IGHD,IL4R,FCER2,IGHM,CD27,AIM2,TNFRSF13B,GPR183,CD82,MZB1,JCHAIN,XBP1,SDC1,IGHG1,IGHG3,LYZ,LST1,AIF1,FCER1G,CTSS,S100A8,S100A9,FCN1,CD14,CTSD,VCAN,MS4A7,IFITM3,LILRB1,FCER1A,CST3,CLEC10A,CD1C,HLA-DPA1,IRF7,IL3RA,TCF4,CLEC4C,NRGN,RGS18,MKI67,TOP2A,STMN1,TYMS,UBE2C,ISG15,IFIT1,IFIT2,IFIT3,IFI6,MX1,FOS,JUN,JUNB,DUSP1,HSPA1A,HSPA1B
0,0.11600392,0.03713464,0.027615856,0.07475451,0.5467773,0.058563277,0.012333466,0.21768403,0.063065566,0.023132449,0.019338941,0.17231578,0.010788185,0.022657964,0.124365,0.00950351,0.012337142,0.17042893,0.19976328,0.0144197615,0.021111712,0.02674389,0.02580418,0.0074068364,1.2316513,0.11758652,0.01084742,0.02406336,0.026323913,0.15551257,2.7115917,2.0336285,0.5796671,0.0125080375,0.004350265,0.34345666,0.048035517,0.05376895,0.024628421,0.1646152,0.00043156958,0.11574151,0.12924933,0.008369973,0.040353112,0.42393714,0.0,0.0076065487,0.004289113,2.9359784,0.7140948,1.0946829,0.9089501,2.3869328,2.093748,2.453306,2.5576918,0.8479063,0.7835084,2.8442168,0.44897497,0.6399764,0.456376,0.005448991,1.3953424,0.05335686,0.016786767,0.7683654,0.37253994,0.20278347,0.3827553,0.006546859,0.19657475,0.49543408,0.001829362,0.0035965487,0.009443728,0.0026503624,0.0,0.57321215,0.14655514,0.46690685,0.48345414,0.60906947,0.8654847,2.7864974,1.9786565,1.3677112,2.1952012,0.24592893,0.05857683
1,1.1397783,0.83952826,0.7810918,1.5695767,0.51752794,1.8104033,1.4223979,1.9644729,1.7252744,2.3059237,0.85771984,1.1349444,0.033279426,0.053124826,0.10624924,0.011267187,0.024572887,0.18520363,0.21050052,0.06511,0.02989125,0.14457119,0.01133514,0.013536155,0.30405757,0.046618406,0.012638992,0.04422648,0.094485044,0.019823149,0.90717316,0.41910866,0.7341166,0.010472825,0.007094331,0.3844504,0.00608457,0.062174924,0.61915827,0.007657453,0.0,0.39328912,0.12102675,0.008629653,0.04146034,0.45988405,0.0,0.008051065,0.007200692,0.87898666,0.18475312,0.43200397,0.17293851,0.7856266,0.9398285,1.2022759,0.25044143,0.11250592,0.28168267,0.22395313,0.027999526,0.21612802,0.015087267,0.011060616,0.3925061,0.0034486426,0.0075378087,0.19928798,0.13085863,0.1422797,0.03035448,0.0011895754,0.021563347,0.033225667,0.00057527004,0.002400024,0.12891422,0.020728169,0.0008018687,0.33440158,0.057988267,0.06702942,0.07763441,0.2768772,0.29371357,0.9738886,0.93159723,1.4498092,0.61906517,0.06697807,0.022858934
2,1.2618961,0.89818746,0.81465054,1.6793115,0.5316115,2.069262,0.54390556,2.5296965,1.2383271,1.4217466,0.6149165,0.931996,0.05801579,0.06599313,0.3264218,0.1354754,0.023759142,0.19300102,0.18938236,0.10928811,0.027453287,0.22072937,0.027646124,0.007100662,0.22552621,0.029222095,0.0100818705,0.033547707,0.11602678,0.021577682,0.9526464,0.36571082,0.7819331,0.010609865,0.0053680493,0.3338991,0.00854068,0.053256366,0.4499757,0.039034545,0.0003949129,0.56834185,0.41512614,0.016037274,0.03693276,0.5924861,0.0,0.007442667,0.0025518378,0.69070286,0.22102727,0.27408463,0.13658592,0.7457933,0.68316597,0.94211197,0.17575763,0.071167834,0.2551561,0.1578151,0.02841859,0.17874575,0.011398093,0.0007982128,0.3278934,0.0073937736,0.0037785226,0.23007095,0.13909829,0.08472236,0.012865524,0.0006723296,0.011114343,0.023845848,0.008831087,0.009070353,0.06954974,0.011068946,0.0013155892,0.48788765,0.06059013,0.061827935,0.09225141,0.32637775,0.33719322,1.3961216,1.560589,1.6372672,1.0645511,0.18979512,0.055547964
3,1.3086417,0.97788894,0.89871305,1.5558134,0.033928223,1.9536116,1.5612289,1.838715,1.6945374,2.5175273,0.7003939,1.2507252,1.0656084,1.3314202,0.12312873,0.017500557,0.7290961,0.15109798,0.18107086,0.13755354,0.02679587,0.6602055,0.015427506,0.0033363723,0.2530285,0.046429303,0.012257445,0.1456749,0.05617396,0.01950271,0.8971534,0.40419835,0.665893,0.009230377,0.0064362674,0.20460272,0.0059804013,0.05751337,0.74431056,0.0052238037,0.0,0.055301365,0.048808713,0.013711752,0.034047395,0.34774652,0.0,0.014082463,0.005068451,0.74617046,0.19275331,0.44442186,0.2549574,0.7093541,0.7593014,0.9901562,0.1833945,0.09857777,0.28965172,0.16532274,0.037665788,0.22707514,0.014422321,0.0069333613,0.32309154,0.0027674655,0.004434832,0.18109284,0.11856623,0.13797526,0.025552005,0.00080917246,0.020182878,0.02225692,0.0,0.0017894049,0.16615954,0.010799416,0.00103268,0.33705902,0.0548926,0.059402023,0.044767573,0.2799545,0.23870523,1.0588104,1.1641716,1.6691588,0.76758176,0.052311838,0.010108672
4,1.4981738,0.98379546,0.967503,1.4112025,0.08915804,0.78121644,0.072312236,0.79434836,0.64383,0.3511249,0.06396445,0.40663224,0.9881905,0.7037378,3.0674233,0.56664693,0.23363082,2.5282943,2.3168783,1.3139493,0.5048934,1.3256001,1.0799817,0.24304444,0.45987782,0.4748545,0.029231861,0.023960114,0.06418831,0.013246313,1.1477525,0.41121984,0.7523105,0.007197596,0.0079753855,0.16081782,0.014082667,0.070291705,0.2517067,0.029077098,0.0,0.16936305,0.11615732,0.024764964,0.04282893,0.73345226,0.0,0.014243403,0.0020511814,0.79264605,0.16344947,0.2732926,0.18952896,0.7879475,0.8261143,1.0314412,0.1944513,0.11126256,0.42936668,0.19901356,0.037830986,0.18993829,0.2531868,0.0,0.37465248,0.003990581,0.0017127291,0.49103534,0.12604451,0.03654814,0.021983732,0.005757035,0.010594312,0.009690497,0.0043189935,0.003328698,0.084717736,0.013452951,0.0,0.51896745,0.037405297,0.08635448,0.06479817,0.30682877,0.2047967,0.9205805,1.331839,1.2983297,0.8721434,0.13425508,0.031035174
5,0.21287999,0.40132013,0.11102466,0.17758186,0.04285059,0.10626045,0.035868943,0.3160492,0.19471274,0.12983754,0.035109513,0.4020174,0.19352801,0.055329442,2.3243363,0.06689374,0.018890785,3.287903,4.041923,2.6264873,1.5480973,1.9513521,1.8253158,1.5346739,1.9322608,1.3373696,0.020570405,0.032996405,0.09476664,0.01249797,1.0448444,0.42862418,0.6421329,0.004916404,0.0,0.13898708,0.005731557,0.0480997,0.048099495,0.014571908,0.0,0.076007366,0.011521536,0.009335261,0.035529923,1.2331388,0.0,0.005507945,0.0030770556,0.7816592,0.18607831,0.31775153,1.4325294,0.7947339,0.77144086,1.0226022,0.24740857,0.13662581,0.9358216,0.18452659,0.006741353,0.6681447,0.15544286,0.0036622938,0.3889528,0.0034520358,0.009566585,0.2142519,0.19447418,0.0320774,0.104947284,0.0027273302,0.015844809,0.019565593,0.081668906,0.045025304,0.17466754,0.06993356,0.014302019,0.6127529,0.04252059,0.14587988,0.11988294,0.3629607,0.27710637,0.9707493,1.0097822,0.8488096,0.7044341,0.15216976,0.031145146
6,0.15073198,0.06542574,0.04042905,0.1423443,0.041262835,0.094335094,0.5450608,2.2853417,0.27078316,0.05461033,0.05692952,0.25348505,0.014152895,0.016407954,0.08950978,0.024575071,0.02719704,0.19064184,0.21102378,0.016384607,0.036182154,0.051683795,0.031556975,0.012153413,0.27001923,0.06641342,2.420688,2.1715817,1.7078049,3.4057345,4.0919175,3.0999973,2.0226953,0.03569307,0.800026,0.18019754,0.65513533,2.4634652,0.34740576,0.8250167,0.36106557,0.6361447,0.84134084,0.25425863,0.41228616,0.144555,0.0,0.48020345,0.32960388,0.75682086,0.14738098,0.3575707,0.17064674,1.3657575,0.84612525,1.1069933,0.18823467,0.10575219,0.119848944,0.16197136,0.08467024,0.14663461,0.376894,0.0,0.399942,0.009703216,0.22835028,1.8576733,0.2635053,0.1028799,1.4343061,0.0,0.03961275,0.014939246,0.0,0.0,0.065271415,0.008528078,0.0,0.3118144,0.05749421,0.11392988,0.12448245,0.18864398,0.47723204,0.85914165,1.1948932,1.252666,0.8982736,0.061932072,0.058899973
7,0.11568491,0.04387582,0.018177684,0.08804027,0.79922444,0.0461607,0.017579984,0.7244618,0.08156684,0.027451042,0.020250393,0.25529775,0.010944137,0.022875018,0.09415101,0.020995066,0.0137964925,0.21033242,0.15862662,0.015421573,0.031062927,0.039227836,0.014444404,0.0023258214,2.351987,2.5318954,0.012272022,0.036417536,0.54568005,0.033007067,3.256162,2.4868517,1.1504648,0.013354966,0.007646424,0.22433096,0.13036384,0.05986961,0.017466506,0.15563259,0.0,0.034803517,0.059075832,0.008986811,0.01871042,0.24027272,0.0,0.015812498,0.0010197051,1.8530653,2.4431295,2.7416961,2.3729403,3.0889337,0.853261,1.443388,1.7372296,0.21302159,0.6306951,0.33187968,1.9590653,2.6001072,1.336268,0.002780877,2.780304,0.014335963,0.004697333,2.1193333,0.51601005,0.39055726,0.2841195,0.0026852975,0.22317225,0.7073092,0.0,0.0016806416,0.025747085,0.009756145,0.0,1.1404806,0.28073156,0.67883754,0.90230167,0.9284732,0.6733878,1.9402982,0.8204643,1.8685906,1.9394056,0.5477773,0.13644339
8,0.118478686,0.053386204,0.022751108,0.12919874,0.034980148,0.048314724,0.72786987,1.8960937,0.070193626,0.036858823,0.024088712,0.29281706,0.0,0.03562655,0.10317235,0.0111760665,0.0059153126,0.18884453,0.2224769,0.030929001,0.034092687,0.041834477,0.033681385,0.016265018,0.34204966,0.034826674,2.1517973,2.0402179,1.7125708,3.2229364,4.128784,3.1181161,1.9864715,1.4033492,2.0877438,1.7849747,1.5860089,3.6391206,0.033477813,0.04014543,0.009918316,0.08285829,0.40984756,0.13504146,0.13163695,0.12907928,0.0,0.029735371,0.06793558,0.7739688,0.22902739,0.2931625,0.18138386,1.2184559,0.980976,1.1648111,0.2205912,0.12963492,0.07357156,0.19036537,0.0504043,0.20009467,0.32998276,0.012006661,0.396295,0.0063494057,0.051442806,1.614971,0.15886495,0.15822004,1.0128925,0.013379998,0.025539666,0.061188262,0.0,0.010974086,0.064498395,0.0,0.0,0.26903707,0.05758824,0.09464563,0.12045238,0.14468127,0.38384414,0.8614491,1.1705334,1.0720857,1.0301608,0.05070696,0.022742696
9,0.0882398,0.0366048,0.0066167284,0.06298267,0.72137064,0.06861587,0.0364954,0.3156413,0.090784356,0.046034586,0.022682926,0.3008238,0.008380566,0.021376235,0.11857552,0.0,0.02438764,0.1862204,0.14899468,0.013849459,0.03347113,0.09811557,0.015398547,0.0047452026,1.5946649,0.027424937,0.022942701,0.026064493,0.07926348,0.5584941,4.1725984,3.4281273,0.92660254,0.0,0.014811267,0.26001483,0.039350376,0.08035007,0.033933826,0.047327887,0.0035645536,0.6314304,0.062864736,0.013246485,0.016308747,0.40701374,0.0,0.0072499476,0.00831659,3.3966703,1.0755401,1.5615193,1.3921276,1.8111207,1.2317591,1.9388204,1.4271307,0.31255317,0.5259435,1.5000551,0.1979221,0.7153696,0.36342216,0.66729784,3.193092,0.83116007,0.71097726,2.6675038,0.43028653,0.25143057,0.69829273,0.057631515,0.2863312,0.72088885,0.030932417,0.014608101,0.102547504,0.0,0.0,0.7109853,0.10992855,0.2570363,0.274012,0.57373214,0.70921105,2.5390084,1.49485,1.6835923,1.743711,0.19934511,0.0650523
