marker_group,marker_gene,available
B_cells,BANK1,True
B_cells,CD37,True
B_cells,CD74,True
B_cells,CD79A,True
B_cells,CD79B,True
B_cells,HLA-DRA,True
B_cells,MS4A1,True
CD4_T_cells,CCR7,True
CD4_T_cells,CD4,True
CD4_T_cells,IL7R,True
CD4_T_cells,LEF1,True
CD4_T_cells,LTB,True
CD4_T_cells,MAL,True
CD4_T_cells,NOSIP,True
CD4_T_cells,TCF7,True
CD8_T_cells,CCL5,True
CD8_T_cells,CD8A,True
CD8_T_cells,CD8B,True
CD8_T_cells,GZMK,True
CD8_T_cells,LINC02446,True
Cycling_cells,MKI67,True
Cycling_cells,STMN1,True
Cycling_cells,TOP2A,True
Cycling_cells,TYMS,True
Cycling_cells,UBE2C,True
Cytotoxic_T_NK,CCL5,True
Cytotoxic_T_NK,CTSW,True
Cytotoxic_T_NK,GNLY,True
Cytotoxic_T_NK,GZMB,True
Cytotoxic_T_NK,NKG7,True
Cytotoxic_T_NK,PRF1,True
Dendritic_cells_CD1C,CD1C,True
Dendritic_cells_CD1C,CD74,True
Dendritic_cells_CD1C,CLEC10A,True
Dendritic_cells_CD1C,CST3,True
Dendritic_cells_CD1C,FCER1A,True
Dendritic_cells_CD1C,HLA-DPA1,True
Interferon_response,IFI6,True
Interferon_response,IFIT1,True
Interferon_response,IFIT2,True
Interferon_response,IFIT3,True
Interferon_response,ISG15,True
Interferon_response,MX1,True
Memory_B_cells,AIM2,True
Memory_B_cells,CD27,True
Memory_B_cells,CD82,True
Memory_B_cells,GPR183,True
Memory_B_cells,TNFRSF13B,True
Monocytes_CD14,CD14,True
Monocytes_CD14,CTSD,True
Monocytes_CD14,FCN1,True
Monocytes_CD14,S100A8,True
Monocytes_CD14,S100A9,True
Monocytes_CD14,VCAN,True
Monocytes_FCGR3A,AIF1,True
Monocytes_FCGR3A,FCGR3A,True
Monocytes_FCGR3A,IFITM3,True
Monocytes_FCGR3A,LILRB1,True
Monocytes_FCGR3A,LST1,True
Monocytes_FCGR3A,MS4A7,True
Monocytes_general,AIF1,True
Monocytes_general,CTSS,True
Monocytes_general,FCER1G,True
Monocytes_general,LST1,True
Monocytes_general,LYZ,True
Monocytes_general,TYROBP,True
NK_cells,FCGR3A,True
NK_cells,GNLY,True
NK_cells,KLRD1,True
NK_cells,KLRF1,True
NK_cells,NKG7,True
NK_cells,PRF1,True
NK_cells,TYROBP,True
Naive_B_cells,FCER2,True
Naive_B_cells,IGHD,True
Naive_B_cells,IGHM,True
Naive_B_cells,IL4R,True
Naive_B_cells,TCL1A,True
Plasma_cells,IGHG1,True
Plasma_cells,IGHG3,True
Plasma_cells,JCHAIN,True
Plasma_cells,MZB1,True
Plasma_cells,SDC1,True
Plasma_cells,XBP1,True
Platelets,GP9,False
Platelets,NRGN,True
Platelets,PF4,False
Platelets,PPBP,False
Platelets,RGS18,True
Platelets,SDPR,False
Stress_response,DUSP1,True
Stress_response,FOS,True
Stress_response,HSPA1A,True
Stress_response,HSPA1B,True
Stress_response,JUN,True
Stress_response,JUNB,True
T_cells_general,CD3D,True
T_cells_general,CD3E,True
T_cells_general,CD3G,True
T_cells_general,TRAC,True
pDC,CLEC4C,True
pDC,GZMB,True
pDC,GZMB,True
pDC,IL3RA,True
pDC,IRF7,True
pDC,TCF4,True
