cluster,n_cells,fraction_cells,percent_cells
0,2470,0.2529960053262317,25.299600532623167
1,1703,0.1744340878828229,17.44340878828229
2,1565,0.16029908839496057,16.029908839496056
3,1434,0.14688108163474342,14.688108163474341
4,755,0.0773327870531599,7.733278705315989
5,419,0.04291713612619072,4.291713612619072
6,377,0.03861517976031957,3.861517976031957
7,343,0.03513264365461436,3.513264365461436
8,277,0.028372426508245417,2.8372426508245416
9,169,0.017310252996005325,1.7310252996005324
10,118,0.012086448837447505,1.2086448837447505
11,95,0.00973061558947045,0.9730615589470449
12,19,0.00194612311789409,0.194612311789409
13,19,0.00194612311789409,0.194612311789409
