leiden_0_6,celltypist_majority_voting,n_cells,cluster_n_cells,fraction_in_cluster
0,Classical monocytes,2468,2470,0.9991902834008097
0,DC2,1,2470,0.0004048582995951417
0,Non-classical monocytes,1,2470,0.0004048582995951417
0,Age-associated B cells,0,2470,0.0
0,CD16+ NK cells,0,2470,0.0
0,CD8a/a,0,2470,0.0
0,HSC/MPP,0,2470,0.0
0,MAIT cells,0,2470,0.0
0,Memory B cells,0,2470,0.0
0,Naive B cells,0,2470,0.0
0,Plasma cells,0,2470,0.0
0,Regulatory T cells,0,2470,0.0
0,Tcm/Naive cytotoxic T cells,0,2470,0.0
0,Tcm/Naive helper T cells,0,2470,0.0
0,Tem/Effector helper T cells,0,2470,0.0
0,Tem/Temra cytotoxic T cells,0,2470,0.0
0,Tem/Trm cytotoxic T cells,0,2470,0.0
0,pDC,0,2470,0.0
1,Tcm/Naive helper T cells,1658,1703,0.9735760422783324
1,Regulatory T cells,23,1703,0.013505578391074574
1,Classical monocytes,14,1703,0.008220786846741044
1,Tcm/Naive cytotoxic T cells,8,1703,0.004697592483852026
1,Age-associated B cells,0,1703,0.0
1,CD16+ NK cells,0,1703,0.0
1,CD8a/a,0,1703,0.0
1,DC2,0,1703,0.0
1,HSC/MPP,0,1703,0.0
1,MAIT cells,0,1703,0.0
1,Memory B cells,0,1703,0.0
1,Naive B cells,0,1703,0.0
1,Non-classical monocytes,0,1703,0.0
1,Plasma cells,0,1703,0.0
1,Tem/Effector helper T cells,0,1703,0.0
1,Tem/Temra cytotoxic T cells,0,1703,0.0
1,Tem/Trm cytotoxic T cells,0,1703,0.0
1,pDC,0,1703,0.0
2,Tcm/Naive helper T cells,1019,1565,0.6511182108626198
2,Tem/Effector helper T cells,369,1565,0.23578274760383386
2,Regulatory T cells,164,1565,0.1047923322683706
2,Tem/Trm cytotoxic T cells,10,1565,0.006389776357827476
2,MAIT cells,2,1565,0.0012779552715654952
2,Tem/Temra cytotoxic T cells,1,1565,0.0006389776357827476
2,Age-associated B cells,0,1565,0.0
2,CD16+ NK cells,0,1565,0.0
2,CD8a/a,0,1565,0.0
2,Classical monocytes,0,1565,0.0
2,DC2,0,1565,0.0
2,HSC/MPP,0,1565,0.0
2,Memory B cells,0,1565,0.0
2,Naive B cells,0,1565,0.0
2,Non-classical monocytes,0,1565,0.0
2,Plasma cells,0,1565,0.0
2,Tcm/Naive cytotoxic T cells,0,1565,0.0
2,pDC,0,1565,0.0
3,Tcm/Naive cytotoxic T cells,1299,1434,0.9058577405857741
3,Tcm/Naive helper T cells,134,1434,0.09344490934449093
3,Tem/Trm cytotoxic T cells,1,1434,0.000697350069735007
3,Age-associated B cells,0,1434,0.0
3,CD16+ NK cells,0,1434,0.0
3,CD8a/a,0,1434,0.0
3,Classical monocytes,0,1434,0.0
3,DC2,0,1434,0.0
3,HSC/MPP,0,1434,0.0
3,MAIT cells,0,1434,0.0
3,Memory B cells,0,1434,0.0
3,Naive B cells,0,1434,0.0
3,Non-classical monocytes,0,1434,0.0
3,Plasma cells,0,1434,0.0
3,Regulatory T cells,0,1434,0.0
3,Tem/Effector helper T cells,0,1434,0.0
3,Tem/Temra cytotoxic T cells,0,1434,0.0
3,pDC,0,1434,0.0
4,Tem/Temra cytotoxic T cells,502,755,0.6649006622516557
4,Tem/Trm cytotoxic T cells,240,755,0.31788079470198677
4,CD8a/a,12,755,0.015894039735099338
